"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"IS09"	"IS10"	"IS11"	"State"	"MaxFC"	"InitialState"
"CAMLG"	"CAMLG"	0.331561481203503	0.0776313703900025	0.131324795848294	0.166308284505053	0.130351436811702	0.279255343470814	-0.432671188992276	-0.124840662129421	-0.0454788733851774	0.143064651600562	-0.236777906552469	"S01"	0.331561481203503	"IS01"
"ADRB2"	"ADRB2"	0.323051836098594	-0.189214728812628	0.0397727973781133	0.14963261630617	0.198268595406784	-0.164235125330981	-0.207093724487512	0.173856380081213	0.0988854371102647	0.150023360232498	-0.274857740776859	"S01"	0.323051836098594	"IS01"
"MMEL1"	"MMEL1"	0.320446966321834	-0.112405052369006	-0.0294242083053079	0.00153910056668634	0.163888387492741	-0.00165120382624633	-0.115877023098551	-0.0578455653535041	0.019117682382366	0.0150445017588731	-0.0845761907351809	"S01"	0.320446966321834	"IS01"
"MAGED2"	"MAGED2"	0.308879170296947	0.102566828960715	0.262982439029321	0.249978685317529	0.148669794941201	0.119059764755812	-0.378490725730166	-0.141973647863197	-0.032898703443417	0.238752018947058	-0.337226756248372	"S01"	0.308879170296947	"IS01"
"TMEM266"	"TMEM266"	0.290066817455845	0.0461165501081142	0.0307686462735041	-0.090180203569497	-0.100416651309233	-0.0561507934267705	-0.0421889728675144	0.0662375687622018	-0.103902345814974	0.280603435665267	-0.0351656112269857	"S01"	0.290066817455845	"IS01"
"POPDC2"	"POPDC2"	0.282968858928484	-0.105191090325677	-0.00686996703094318	0.00425056227115008	-0.116164609399174	-0.0336910784083855	0.0299285251746956	0.0921382088912466	0.0672127864151418	-0.0311289168824152	-0.0108369138856424	"S01"	0.282968858928484	"IS01"
"ITGB3BP"	"ITGB3BP"	0.279836688866136	0.168971975915772	-0.052113396049579	-0.118653574971296	-0.0452832286495815	0.00428321978384554	-0.141098498003202	-0.109532417475119	0.131318873622115	0.198472481139715	-0.125104804492628	"S01"	0.279836688866136	"IS01"
"FAH"	"FAH"	0.279797649974531	0.259503417953916	0.0103685148968863	0.0589202661658061	0.00302879729632202	0.0239247793048974	-0.176948162342381	-0.227021904849021	0.17670456616665	0.264190526600494	-0.273116338564944	"S01"	0.279797649974531	"IS01"
"UMPS"	"UMPS"	0.273981979577157	0.0480012438933034	-0.160440882515505	-0.127565866275446	0.0525934592657705	0.109028448062013	-0.159173883519259	-0.0464495842378525	0.109385556776608	0.19659899451277	-0.155804962717032	"S01"	0.273981979577157	"IS01"
"C15orf61"	"C15orf61"	0.254592348400062	-0.049492239979418	-0.145211804352749	0.139604635867186	0.185223290293514	0.0906281336806241	-0.220047192700379	-0.0737867876430585	-0.124863679956338	0.153620186320816	-0.0155931580136502	"S01"	0.254592348400062	"IS01"
"TSPAN32"	"TSPAN32"	0.250052872835602	0.0932922632417801	0.164459273779338	0.00228876517688902	0.125523049959028	0.0235179105562472	-0.0963415138154746	-0.0974681355685794	-0.0790809086390154	0.0384442176985301	-0.138017968100981	"S01"	0.250052872835602	"IS01"
